category,subcategory_1,uuid,name,description,part_number,price,cost,taxable,unit_of_measure,material_markup_enabled
INVERTER,"",pbmat_4aaf89ae96d14fbfabd5a91451d94ff8,SMA- Sunny Boy Smart Energy 3.8kW inverter,"",,$2200.00,$0.00,false,,false
INVERTER,"",pbmat_4bd49b29282e469390a9508e6df9560c,Fronius Gen24 6.0kW inverter,"",,$2195.00,$1676.00,false,,false
INVERTER,"",pbmat_1bd851cc939542ca9a4602e66e539996,Fronius Primo - 11.4 Inverter,"",,$3679.61,$2695.86,false,,false
Solar Monitoring,"",pbmat_b37344f62ac34aeb96a8411314dd439d,SMA Speedwire Datalogging/Monitoring Card,SMA Monitoring card for -12 or -US inverters to replace Sunny Webbox.,SWPB-US-10,$206.36,$165.09,false,Each,false
Solar Monitoring,"",pbmat_cfbbbdd51285440dae6cf2a3d9ff1c02,5 port internet switch,"TP-Link TL-SG105, 5 Port Gigabit Unmanaged Ethernet Switch, Network Hub, Ethernet Splitter, Plug & Play, Fanless Metal Design, Shielded Ports, Traffic Optimization",TP-Link TL-SG105,$18.40,$14.16,false,Each,false
Misc material,"",pbmat_6d329a4acae3400e8d22d29ec2493897,12X12 Junction box,"CANTEX Enclosure: PVC, 12 in x 12 in x 6 in, NEMA 1/3/3S/4/4X/5/6/6P, Screw On, Solid Cover",,$85.00,$70.00,false,,false
Misc material,"",pbmat_d6f8a73e855e4659a9ab11343a382281,Single Gang Bell box,Bell Single Gang Weatherproof Box,,$7.78,$5.98,false,,false
Misc material,"",pbmat_ec8a3d6be8854aacbeb63eb82d746cea,15.0 -Amp 125-volt Residential Decorator Outlet Receptacles,15A receptacle,,$4.02,$2.68,false,,false
Misc material,"",pbmat_a407c644c8c942529eb2d04f15b6cbdf,Eaton Type BR 15-amp 1 -Pole Standard trip Circuit Breaker,Eaton Type BR 15-amp 1 -Pole Standard trip Circuit Breaker,,$10.63,$8.18,false,,false
Wire,"",pbmat_b7482905a33141a093d71e9e2affbb9f,#12 THHN wire,"THHN TYPE; 500 FOOT; 119 MIL OUTER DIAMETER; COPPER CONDUCTOR MATERIAL; UL 83/758/1063/1581, UL (CANADA AND US), CSA
C22.2 APPROVAL; 600 VOLT VOLTAGE RATING; 20 AMP CURRENT RATING; 90 DEG C (DRY) TEMPERATURE RATING; 23 POUND PER 1000
FOOT WEIGHT","",$0.28,$0.21,false,"",false
Wire,"",pbmat_ccaabef628e84a8b8d4e851c774546da,CAT 5e,Southwire 500-ft 24 CAT 5e 4 Riser Data Cable Box,,$0.21,$0.16,false,,false
Misc material,"",pbmat_260c45fe8a5b42ed94a8e938938f4483,1A Fuse,"",,$10.00,$3.00,false,,false
Wire,"",pbmat_05c4038c267c47e49ec638dbf13e0787,10 AWG STRANDED,"THHN TYPE; (2) 500 FOOT; 161 MIL OUTER DIAMETER; COPPER CONDUCTOR MATERIAL; UL 83/758/1063/1581, UL (CANADA AND US),
CSA C22.2 APPROVAL; 600 VOLT VOLTAGE RATING; 30 AMP CURRENT RATING; 90 DEG C (DRY) TEMPERATURE RATING; 38 POUND PER
1000 FOOT WEIGHT",WIRE THHN10STRBLK,$0.45,$0.35,false,Each,false
INVERTER,"",pbmat_a06c8f2b61ba40b7ab6120a2bce18609,Fronius 3.8 Primo inverter,"",,$1850.00,$1326.41,false,,false
INVERTER,"",pbmat_0fd341813adc4f5090cc4f7b8d9714f7,SMA SB SMART ENERGY 5.8KW INV,"",,$2795.00,$2017.05,false,,false
Wire,"",pbmat_f91585ad3e83446a8e719b95dfe702bf,8 AWG STRANDED,"THHN TYPE; 500 FOOT; 213 MIL OUTER DIAMETER; COPPER CONDUCTOR MATERIAL; UL 83/758/1063/1581, UL (CANADA AND US), CSA
C22.2 APPROVAL; 600 VOLT VOLTAGE RATING; 40 AMP (60 DEG C), 50 AMP (75 DEG C), 55 AMP (90 DEG C) CURRENT RATING",WIRE THHN8STRBLK,$0.84,$0.64,false,Each,false
Wire,"",pbmat_3c69b7bec41842e2b62d48ccc206776a,6 AWG STRANDED WIRE,"THHN TYPE; 500 FT; 0.253 INCH OUTER DIAMETER; ANNEALED BARE COPPER CONDUCTOR MATERIAL; UL 83, CUL APPROVAL; 600 V
VOLTAGE RATING; 55 AMPERE (60 DEG C), 65 AMPERE (75 DEG C), 75 AMPERE (90 DEG C) CURRENT RATING; 90 DEG C (DRY/WET)
TEMPERATURE RATING",WIRE THHN6STRBLK500R,$1.29,$0.99,false,Each,false
Wire,"",pbmat_0f23a8ec7ce044009126c19928134307,4 AWG STRANDED WIRE,"THHN TYPE; 500 FT; 500 LENGTH IN FT; SOFT ANNEALED COPPER CONDUCTOR MATERIAL; UL (CANADA AND US) APPROVAL; 600 V
VOLTAGE RATING; 70 AMPERE (60 DEG C), 85 AMPERE (75 DEG C), 95 AMPERE (90 DEG C) CURRENT RATING",WIRE THHN4STRBLK,$1.97,$1.52,false,Each,false
Misc material,"",pbmat_de3338c4e74a47dfadf4dbf51528521c,60A 2 POLE BREAKER,60A DOUBLE POLE BREAKER,"",$32.84,$25.26,false,Each,false
CONDUIT/CONDUIT MATERIAL,"",pbmat_01f367e5b0eb42cda74de507915d8572,"3/4"" CONDUIT","3/4"" EMT",EMT-3/4,$1.39,$0.92,false,Each,false
CONDUIT/CONDUIT MATERIAL,"",pbmat_caa0ea44c64b43a08b8808bc3d020c92,"3/4"" CONNECTOR",3/4 EMT CONNECTOR,251SRTI,$2.27,$1.74,false,Each,false
CONDUIT/CONDUIT MATERIAL,"",pbmat_943c5f44fc0443da9f824d7c2138f5b8,"3/4"" COUPLER",3/4 EMT COUPLING,261SRT,$2.78,$2.14,false,Each,false
CONDUIT/CONDUIT MATERIAL,"",pbmat_a5324c0d7e64458db46a170f8042705c,"3/4"" ONE HOLE STRAP",3/4 1H STL EMT STRAP,921S,$0.46,$0.23,false,Each,false
CONDUIT/CONDUIT MATERIAL,"",pbmat_9ac6c6271f2e4b95a41fe33e2f50ea3b,"3/4"" LB CONDULETTE WITH GASKET",3/4 AL BODY ASBLY,LB42CG,$8.94,$6.88,false,Each,false
